date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:22	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%224af4-5bb2520c-77538d330f212570;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:23	44387/44387	---M--	200	added ('OK')	image/png	etag:%22ad63-5c5053f8-7614db0fad4400d9;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:24	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22bf30-5bb251f8-2286349df7c9b26f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:25	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%2214983-5c4eca16-9cb2ad2634a26ceb;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:25	6077/6077	---M-Z	200	added ('OK')	application/javascript	etag:%2217bd-5bb255a6-bad0f64972056673;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:25	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-5bb255a6-9ecd4b5bf72ddefc;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:26	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5bb255a6-68496073858a6c5c;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:27	28935/28935	---M-Z	200	added ('OK')	application/javascript	etag:%227107-5c4ecae8-f524db32ea2ee3a3;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:27	81213/81213	---M--	200	added ('OK')	image/png	etag:%2213d3d-5c5053f8-1bd1cba9f351a312;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:28	5138/5138	---M-Z	200	added ('OK')	application/javascript	etag:%221412-5c07daf4-dd08f41f755effd0;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:30	21102/21102	---M-Z	200	added ('OK')	application/javascript	etag:%22526e-5bc78a36-a6d8e9dec4e4834f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:33	31433/31433	---M-Z	200	added ('OK')	application/javascript	etag:%227ac9-5bddadd2-c01da081fe2fee0a;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/packery-mode.pkgd.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:33	45500/45500	---M-Z	200	added ('OK')	application/javascript	etag:%22b1bc-5bddc33c-aaf1c061207bd640;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.fancybox.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:33	2211/2211	---M-Z	200	added ('OK')	application/javascript	etag:%228a3-5c50995e-fb3610b0f8368b9a;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/map-init.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/map-init.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:37	9332/9332	---M-Z	200	added ('OK')	application/javascript	etag:%222474-5c694b17-fd502c5b0ce6a6b0;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/custom-scripts.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/js/custom-scripts.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:37	2802/2802	---M-Z	200	added ('OK')	text/css	etag:%22af2-5c40dd00-bf7031658f8a1364;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:38	1840/1840	---M-Z	200	added ('OK')	application/javascript	etag:%22730-5c0290ba-a1ca30125bb5c991;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/styleswitcher.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
16:31:38	407/407	---M-Z	200	added ('OK')	application/javascript	etag:%22197-5c0290ba-4fdcab48b8e94122;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	C:/Users/Documents/Desktop/AA/cvresumetemplate.com/maha-personal-cv-resume-html-template/demo/demo.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
